id,xCenter,yCenter,radius,Color,
268,337,65,0,1,201
269,337,77,0,1,207
270,896,664,0,1,780
271,307,116,0,1,211.5
272,279,151,0,1,215
273,296,148,0,1,222
274,367,85,0,1,226
275,281,173,0,1,227
276,369,136,0,1,252.5
277,249,260,0,1,254.5
278,273,247,0,1,260
279,406,128,0,1,267
280,430,104,0,1,267
281,460,92,0,1,276
282,720,626,0,1,673
150,430,134,12,1,282
153,506,83,10,1,294.5
162,407,261,10,1,334
159,279,374,10,1,326.5
166,539,199,12,1,369
167,439,312,14,1,375.5
168,392,397,10,1,394.5
169,657,163,10,1,410
170,582,327,14,1,454.5
171,705,228,13,1,466.5
172,466,469,11,1,467.5
173,439,606,10,1,522.5
174,746,372,14,1,559
175,547,580,10,1,563.5
176,648,513,11,1,580.5
177,906,303,14,1,604.5
178,630,632,10,1,631
179,615,684,10,1,649.5
181,832,475,10,1,653.5
192,726,720,10,1,723
188,783,623,12,1,703
195,852,635,12,1,743.5
